,target
2054,0
8342,0
17950,1
19321,1
19633,1
20255,1
17224,1
12745,1
6419,0
19204,1
7731,0
6006,0
7898,0
11456,0
20262,1
21367,1
16933,1
14329,1
8508,0
7502,0
8029,0
8476,0
11107,0
11830,1
17903,1
3608,0
11150,0
8862,0
7665,0
17976,1
19699,1
14239,1
176,0
19920,1
20201,1
21100,1
18692,1
7134,0
1236,0
6335,0
10244,0
19718,1
13037,1
11123,0
10663,0
14913,1
20052,1
2394,0
11105,0
10501,0
5918,0
17229,1
21051,1
21678,1
13314,1
2436,0
16846,1
16694,1
8727,0
14515,1
11514,0
6253,0
9785,0
10536,0
1327,0
3537,0
6613,0
5735,0
21649,1
17212,1
3276,0
2746,0
7672,0
102,0
21466,1
1661,0
9872,0
17671,1
12854,1
10448,0
13559,1
11623,1
7431,0
15273,1
14237,1
1694,0
15914,1
10765,0
21561,1
7305,0
18261,1
12133,1
21607,1
268,0
518,0
9773,0
7786,0
6360,0
11628,1
15551,1
17032,1
2358,0
6023,0
439,0
14100,1
9322,0
18140,1
937,0
17799,1
16944,1
9926,0
3459,0
15268,1
21562,1
2134,0
4965,0
11189,0
22743,1
2774,0
12073,1
15415,1
3119,0
17398,1
8833,0
1210,0
7317,0
8319,0
23039,1
1085,0
15380,1
19735,1
10572,0
6218,0
12408,1
14358,1
9264,0
19777,1
7627,0
13902,1
13420,1
3379,0
16893,1
5554,0
19802,1
1318,0
1769,0
23038,1
11972,1
19756,1
9426,0
11225,0
14091,1
3562,0
6659,0
8731,0
130,0
11346,0
3220,0
4880,0
17856,1
4918,0
18762,1
6847,0
17731,1
14058,1
1623,0
18599,1
10890,0
1825,0
12895,1
12574,1
8295,0
17455,1
16440,1
14167,1
4602,0
20730,1
10432,0
18169,1
20513,1
7268,0
2216,0
7760,0
2995,0
3792,0
6625,0
12011,1
8403,0
19083,1
15469,1
13563,1
8654,0
17299,1
10039,0
16996,1
16245,1
3940,0
13249,1
16443,1
4751,0
147,0
5721,0
6685,0
21133,1
4705,0
20735,1
5379,0
3223,0
5943,0
15283,1
11311,0
15541,1
17567,1
449,0
2264,0
22645,1
16983,1
13693,1
17113,1
22685,1
10504,0
535,0
19632,1
22525,1
6606,0
12025,1
14217,1
1836,0
366,0
18523,1
10650,0
10992,0
23058,1
12460,1
10398,0
1890,0
15895,1
5203,0
20775,1
11608,0
21431,1
8796,0
19826,1
5966,0
6478,0
19197,1
13225,1
6919,0
10152,0
1688,0
5516,0
12669,1
11180,0
9413,0
12425,1
4614,0
12461,1
16463,1
14540,1
19764,1
18086,1
7149,0
2449,0
17422,1
5117,0
19682,1
16217,1
15619,1
4822,0
6677,0
12314,1
7554,0
454,0
20709,1
22482,1
6958,0
164,0
3852,0
6740,0
182,0
12983,1
19656,1
10419,0
9362,0
12840,1
17502,1
14222,1
22573,1
99,0
17614,1
9453,0
3742,0
6356,0
8610,0
2764,0
833,0
12596,1
4787,0
7087,0
1707,0
254,0
17854,1
21365,1
1302,0
15928,1
69,0
18998,1
18122,1
11132,0
10274,0
11038,0
3930,0
17003,1
20985,1
21238,1
933,0
7406,0
10840,0
13336,1
21540,1
15772,1
11337,0
20674,1
7515,0
16588,1
9625,0
2009,0
15488,1
9421,0
5642,0
7071,0
13801,1
8487,0
2874,0
10477,0
1037,0
21934,1
2704,0
4848,0
5996,0
9098,0
10513,0
3357,0
20099,1
17657,1
12277,1
21922,1
18894,1
14954,1
15932,1
13548,1
13011,1
4715,0
12322,1
20718,1
21588,1
5000,0
13412,1
11209,0
12960,1
14843,1
8583,0
11568,0
19585,1
1540,0
13253,1
2697,0
2286,0
4999,0
17590,1
8331,0
16989,1
12346,1
8094,0
6798,0
11218,0
19157,1
19406,1
7884,0
22164,1
7322,0
6417,0
15785,1
9189,0
11866,1
22381,1
18657,1
11776,1
22339,1
10285,0
6506,0
15215,1
16308,1
14731,1
15911,1
16596,1
10210,0
11419,0
3198,0
1333,0
22431,1
17329,1
8137,0
21659,1
8242,0
16787,1
1984,0
10667,0
2435,0
14768,1
10424,0
17026,1
304,0
8604,0
18373,1
17906,1
10408,0
6193,0
9710,0
20383,1
3920,0
17631,1
5376,0
22265,1
18422,1
7077,0
5952,0
10034,0
6075,0
20941,1
21883,1
2813,0
20795,1
536,0
8692,0
1139,0
9068,0
18594,1
4116,0
8956,0
468,0
10414,0
9451,0
21991,1
11783,1
15703,1
6405,0
22983,1
617,0
15513,1
1310,0
18554,1
1012,0
18487,1
19745,1
5300,0
15377,1
3251,0
17874,1
21806,1
3547,0
16341,1
3865,0
3787,0
18502,1
5236,0
10299,0
12785,1
7739,0
17601,1
7264,0
16550,1
12167,1
17106,1
2209,0
15364,1
18831,1
8870,0
11988,1
289,0
1121,0
2656,0
3478,0
20051,1
18408,1
5763,0
12933,1
22886,1
2657,0
4957,0
5518,0
9647,0
11208,0
22602,1
23212,1
3526,0
19930,1
18928,1
1835,0
1876,0
18780,1
19400,1
10753,0
15697,1
1042,0
20398,1
10301,0
3942,0
982,0
18600,1
21307,1
17295,1
8292,0
10402,0
16270,1
2596,0
17298,1
14261,1
4797,0
18759,1
4488,0
5144,0
22251,1
377,0
357,0
16676,1
19396,1
11753,1
17117,1
20843,1
11341,0
11808,1
5537,0
15870,1
13287,1
22024,1
13740,1
21068,1
7504,0
2234,0
14763,1
245,0
23179,1
16404,1
5809,0
12704,1
22196,1
10545,0
4352,0
10378,0
7144,0
6348,0
6064,0
20768,1
9134,0
17248,1
6195,0
17201,1
13885,1
11668,1
9270,0
22726,1
20250,1
6056,0
13035,1
12310,1
11793,1
2718,0
16229,1
9300,0
17634,1
1256,0
18318,1
8951,0
5385,0
2640,0
4318,0
22064,1
17481,1
13093,1
2652,0
18125,1
8819,0
16658,1
18177,1
22558,1
21853,1
6473,0
1336,0
20038,1
113,0
8623,0
472,0
